,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
74,Harvey Barnes,15.0,eng ENG,LW,82,44,42,2,1,0,6,1,2,0,0,0,0,28,9,7,8,32,3,1,0,40,0,0,0,1,07/19/20,Leicester City,Tottenham
75,George Hirst,45.0,eng ENG,LW,8,6,6,0,0,0,4,0,0,0,0,0,0,3,1,2,0,4,0,0,0,4,0,0,0,0,07/19/20,Leicester City,Tottenham
76,Ayoze Perez,17.0,es ESP,RW,58,22,17,5,1,0,1,0,1,0,0,0,0,20,1,1,2,20,0,0,0,21,0,0,0,0,07/19/20,Leicester City,Tottenham
77,Kelechi Iheanacho,14.0,ng NGA,RW,32,13,13,0,0,0,3,0,0,0,0,0,0,8,3,2,11,1,1,0,0,12,0,0,0,0,07/19/20,Leicester City,Tottenham
78,Youri Tielemans,8.0,be BEL,CM,69,62,49,13,2,0,3,5,14,11,3,8,0,38,5,19,8,52,1,0,0,40,0,0,2,2,07/19/20,Leicester City,Tottenham
79,Dennis Praet,26.0,be BEL,CM,21,17,17,0,0,0,1,0,1,0,0,0,0,10,5,2,1,15,1,0,0,14,0,0,0,0,07/19/20,Leicester City,Tottenham
80,Wilfred Ndidi,25.0,ng NGA,CM,69,57,56,1,1,0,4,3,0,0,0,0,0,42,7,8,9,44,0,0,0,52,0,1,1,0,07/19/20,Leicester City,Tottenham
81,Nampalys Mendy,24.0,fr FRA,CM,21,26,26,0,0,0,1,1,0,0,0,0,0,24,0,2,3,23,0,0,0,23,0,0,0,0,07/19/20,Leicester City,Tottenham
82,Luke Thomas,56.0,eng ENG,WB,90,77,69,8,0,0,1,1,9,0,0,0,0,53,16,8,63,5,1,8,0,64,0,0,1,1,07/19/20,Leicester City,Tottenham
83,James Justin,2.0,eng ENG,"WB,CB",90,82,78,4,1,0,4,1,4,0,0,0,0,63,9,10,16,58,4,3,0,70,0,0,2,2,07/19/20,Leicester City,Tottenham
84,Jonny Evans,6.0,nir NIR,CB,90,111,105,6,5,0,4,2,0,0,0,0,0,88,8,15,35,66,8,1,0,104,0,0,2,0,07/19/20,Leicester City,Tottenham
85,Wes Morgan,5.0,jm JAM,CB,90,81,78,3,3,0,3,0,0,0,0,0,0,74,4,3,12,63,4,0,0,79,0,1,0,0,07/19/20,Leicester City,Tottenham
86,Ryan Bennett,29.0,eng ENG,CB,45,42,41,1,0,0,0,1,0,0,0,0,0,35,2,5,4,36,1,1,0,40,0,0,0,0,07/19/20,Leicester City,Tottenham
87,Demarai Gray,7.0,eng ENG,"WB,CB",45,39,36,3,0,0,3,6,2,2,2,0,0,30,2,7,1,36,0,1,0,36,0,1,0,1,07/19/20,Leicester City,Tottenham
88,Kasper Schmeichel,1.0,dk DEN,GK,90,23,18,5,2,0,0,1,0,0,0,0,0,17,1,5,0,17,0,0,6,20,0,0,0,0,07/19/20,Leicester City,Tottenham
89,David McGoldrick,17.0,ie IRL,FW,90,37,35,2,0,0,7,2,0,0,0,0,0,28,3,6,3,29,2,0,0,29,0,2,0,3,07/20/20,Sheffield Utd,Everton
90,Oliver McBurnie,9.0,sco SCO,FW,59,12,12,0,0,0,8,0,0,0,0,0,0,5,4,3,0,6,1,0,0,7,0,0,0,3,07/20/20,Sheffield Utd,Everton
91,John Fleck,4.0,sco SCO,FW,31,26,23,3,1,1,2,1,3,2,2,0,0,21,1,4,24,1,0,0,1,21,0,0,1,0,07/20/20,Sheffield Utd,Everton
92,Ben Osborn,23.0,eng ENG,CM,59,29,29,0,0,0,5,0,1,0,0,0,0,19,5,5,22,4,1,0,1,19,0,0,0,2,07/20/20,Sheffield Utd,Everton
93,Billy Sharp,10.0,eng ENG,CM,31,4,4,0,0,0,2,0,0,0,0,0,0,3,1,0,0,4,0,0,0,4,0,0,0,0,07/20/20,Sheffield Utd,Everton
94,Sander Berge,32.0,no NOR,CM,90,52,51,1,0,0,12,1,5,0,0,0,0,39,7,6,6,43,0,1,0,45,0,1,0,1,07/20/20,Sheffield Utd,Everton
95,Oliver Norwood,16.0,nir NIR,DM,68,43,34,9,4,0,5,6,6,5,3,2,0,20,8,15,0,42,0,0,0,31,0,1,0,1,07/20/20,Sheffield Utd,Everton
96,John Lundstram,7.0,eng ENG,DM,22,21,21,0,0,0,3,1,1,0,0,0,0,15,2,4,5,16,0,0,0,15,0,1,1,0,07/20/20,Sheffield Utd,Everton
97,Enda Stevens,3.0,ie IRL,WB,90,60,45,15,2,0,6,1,6,0,0,0,0,33,15,12,38,6,3,13,0,46,1,0,1,3,07/20/20,Sheffield Utd,Everton
98,George Baldock,2.0,eng ENG,WB,90,54,41,13,1,0,8,1,5,0,0,0,0,27,13,14,1,36,2,12,0,46,0,2,0,4,07/20/20,Sheffield Utd,Everton
99,Jack O'Connell,5.0,eng ENG,CB,90,61,56,5,3,0,7,6,1,0,0,0,0,37,8,16,48,8,1,2,0,47,0,2,0,3,07/20/20,Sheffield Utd,Everton
100,John Egan,12.0,ie IRL,CB,90,41,38,3,3,0,7,0,0,0,0,0,0,24,3,14,5,27,5,0,0,31,0,0,0,0,07/20/20,Sheffield Utd,Everton
101,Chris Basham,6.0,eng ENG,CB,82,43,38,5,4,0,1,3,4,0,0,0,0,28,4,11,4,36,2,1,0,36,0,1,0,0,07/20/20,Sheffield Utd,Everton
102,Richairo Zivkovic,30.0,nl NED,CB,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,07/20/20,Sheffield Utd,Everton
103,Dean Henderson,1.0,eng ENG,GK,90,20,16,4,3,0,2,0,0,0,0,0,0,5,0,15,2,17,0,0,1,8,0,0,0,0,07/20/20,Sheffield Utd,Everton
104,Richarlison,7.0,br BRA,FW,90,30,30,0,0,0,10,0,1,0,0,0,0,19,5,6,6,22,1,0,0,17,1,2,0,3,07/20/20,Everton,Sheffield Utd
105,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,9,9,0,0,1,2,0,0,0,0,0,0,7,1,1,0,7,1,0,0,6,0,1,0,0,07/20/20,Everton,Sheffield Utd
106,Gylfi Sigurdsson,10.0,is ISL,CM,87,28,24,4,2,1,3,0,2,1,1,0,0,22,3,3,4,23,1,0,0,23,0,0,1,1,07/20/20,Everton,Sheffield Utd
107,Seamus Coleman,23.0,ie IRL,"CM,RB",3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,07/20/20,Everton,Sheffield Utd
108,Theo Walcott,11.0,eng ENG,CM,83,21,21,0,0,0,3,0,2,0,0,0,0,14,5,2,2,17,1,0,0,14,0,0,1,2,07/20/20,Everton,Sheffield Utd
109,Anthony Gordon,42.0,eng ENG,CM,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,07/20/20,Everton,Sheffield Utd
110,Tom Davies,26.0,eng ENG,DM,90,37,33,4,4,0,8,3,0,0,0,0,0,19,5,13,4,28,2,0,0,23,0,1,0,2,07/20/20,Everton,Sheffield Utd
111,Andre Gomes,21.0,pt POR,DM,90,42,42,0,0,0,6,5,0,0,0,0,0,26,5,11,9,30,0,0,1,36,0,0,0,1,07/20/20,Everton,Sheffield Utd
112,Lucas Digne,12.0,fr FRA,LB,90,61,44,17,0,0,19,0,1,0,0,0,0,28,14,19,30,4,4,17,0,46,0,1,0,3,07/20/20,Everton,Sheffield Utd
113,Jarrad Branthwaite,32.0,eng ENG,CB,90,54,52,2,0,0,5,2,0,0,0,0,0,42,2,10,37,13,2,0,0,42,0,5,0,0,07/20/20,Everton,Sheffield Utd
114,Michael Keane,5.0,eng ENG,CB,90,66,65,1,1,0,5,0,0,0,0,0,0,54,3,9,15,44,5,0,0,57,1,1,0,1,07/20/20,Everton,Sheffield Utd
115,Djibril Sidibe,19.0,fr FRA,RB,90,69,61,8,2,0,8,4,1,0,0,0,0,48,4,17,9,52,0,6,0,62,0,0,0,1,07/20/20,Everton,Sheffield Utd
116,Jordan Pickford,1.0,eng ENG,GK,90,55,43,12,3,0,5,2,0,0,0,0,0,29,4,22,34,10,0,0,8,40,0,2,0,0,07/20/20,Everton,Sheffield Utd
117,Neal Maupay,7.0,fr FRA,FW,72,15,14,1,0,0,2,0,0,0,0,0,0,12,2,1,2,12,0,0,0,10,0,0,1,1,07/20/20,Brighton,Newcastle Utd
118,Glenn Murray,17.0,eng ENG,FW,18,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,07/20/20,Brighton,Newcastle Utd
119,Aaron Mooy,18.0,au AUS,LW,57,29,29,0,0,0,6,1,1,0,0,0,0,24,4,1,5,24,0,0,0,27,0,0,1,1,07/20/20,Brighton,Newcastle Utd
120,Solly March,20.0,eng ENG,LW,33,20,18,2,0,0,2,2,3,1,0,1,0,12,1,7,17,0,1,1,0,15,0,0,0,2,07/20/20,Brighton,Newcastle Utd
121,Pascal Gross,13.0,de GER,RW,57,32,23,9,3,0,1,3,9,5,2,3,0,16,2,14,5,23,3,1,0,26,0,0,0,0,07/20/20,Brighton,Newcastle Utd
122,Alexis Mac Allister,10.0,ar ARG,RW,33,14,9,5,2,0,3,0,3,3,2,0,0,8,4,2,4,10,0,0,0,10,0,0,0,0,07/20/20,Brighton,Newcastle Utd
