,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
116,Diego Rico,21,es ESP,WB,90,0,0,0,0,1,0,0,0,65,21,3,3,0,0,0,0,1,0,33,57,57.9,246,39,120,0,1,8/10/19,Bournemouth,Sheffield Utd
117,Adam Smith,15,eng ENG,WB,90,0,0,0,0,0,0,1,0,71,17,1,0,2,0,0,0,0,0,55,62,88.7,285,52,164,2,2,8/10/19,Bournemouth,Sheffield Utd
118,Nathan Ake,5,nl NED,CB,90,0,0,0,0,2,0,0,0,79,12,3,2,1,0.1,0.1,0,2,0,62,68,91.2,333,56,153,0,0,8/10/19,Bournemouth,Sheffield Utd
119,Steve Cook,3,eng ENG,CB,90,0,0,0,0,1,0,0,0,78,6,0,2,0,0,0,0,0,0,60,70,85.7,325,53,133,0,0,8/10/19,Bournemouth,Sheffield Utd
120,Chris Mepham,33,wal WAL,CB,90,1,0,0,0,2,1,0,0,76,9,1,1,1,0.3,0.3,0,0,0,54,67,80.6,335,58,190,1,1,8/10/19,Bournemouth,Sheffield Utd
121,Aaron Ramsdale,12,eng ENG,GK,90,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,16,25,64,227,10,18,0,0,8/10/19,Bournemouth,Sheffield Utd
122,David McGoldrick,17,ie IRL,FW,62,0,0,0,0,2,1,0,0,35,21,1,0,2,0.2,0.2,0,0,0,17,22,77.3,32,25,43,2,2,8/10/19,Sheffield Utd,Bournemouth
123,Oliver McBurnie,9,sco SCO,FW,28,0,0,0,0,1,0,0,0,19,7,0,0,1,0.3,0.3,0,1,1,10,12,83.3,11,9,43,0,0,8/10/19,Sheffield Utd,Bournemouth
124,Callum Robinson,11,ie IRL,"FW,AM",90,0,0,0,0,2,1,0,0,28,21,1,2,0,0.2,0.2,0,0,0,12,13,92.3,20,19,44,1,1,8/10/19,Sheffield Utd,Bournemouth
125,John Fleck,4,sco SCO,CM,90,0,0,0,0,0,0,1,0,51,23,1,0,2,0,0,0.1,2,0,38,46,82.6,215,29,101,0,2,8/10/19,Sheffield Utd,Bournemouth
126,John Lundstram,7,eng ENG,CM,77,0,0,0,0,1,0,0,0,42,15,1,1,1,0,0,0.2,3,0,32,38,84.2,141,26,53,0,0,8/10/19,Sheffield Utd,Bournemouth
127,Luke Freeman,8,eng ENG,CM,13,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,11,90.9,46,13,26,0,0,8/10/19,Sheffield Utd,Bournemouth
128,Oliver Norwood,16,nir NIR,DM,90,0,0,0,0,0,0,0,0,86,15,5,4,1,0,0,0.1,2,0,60,78,76.9,365,38,85,0,0,8/10/19,Sheffield Utd,Bournemouth
129,Enda Stevens,3,ie IRL,"WB,LB",90,0,0,0,0,0,0,0,0,48,24,1,0,2,0,0,0,1,0,36,42,85.7,145,35,118,1,2,8/10/19,Sheffield Utd,Bournemouth
130,George Baldock,2,eng ENG,"WB,RB",90,0,0,0,0,1,0,0,0,58,21,0,1,4,0,0,0.3,1,0,38,44,86.4,236,29,51,0,2,8/10/19,Sheffield Utd,Bournemouth
131,Jack O'Connell,5,eng ENG,CB,90,0,0,0,0,0,0,0,0,60,17,3,2,3,0,0,0,1,0,34,50,68,224,23,44,0,0,8/10/19,Sheffield Utd,Bournemouth
132,John Egan,12,ie IRL,CB,90,0,0,0,0,0,0,0,0,55,12,3,3,0,0,0,0,0,0,33,41,80.5,145,22,16,0,0,8/10/19,Sheffield Utd,Bournemouth
133,Chris Basham,6,eng ENG,CB,81,0,0,0,0,0,0,0,0,58,12,1,2,2,0,0,0,1,0,37,47,78.7,220,23,56,1,1,8/10/19,Sheffield Utd,Bournemouth
134,Billy Sharp,10,eng ENG,FW,9,1,0,0,0,1,1,0,0,5,2,0,0,0,0.4,0.4,0,0,0,2,3,66.7,12,4,8,1,1,8/10/19,Sheffield Utd,Bournemouth
135,Dean Henderson,1,eng ENG,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,30,26.7,248,14,54,0,0,8/10/19,Sheffield Utd,Bournemouth
136,Jordan Ayew,9,gh GHA,FW,64,0,0,0,0,1,1,0,0,34,11,2,1,2,0.4,0.4,0,2,0,12,17,70.6,38,25,95,1,3,8/10/19,Crystal Palace,Everton
