,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
129,Adam Webster,15.0,eng ENG,"CB,RB",90,67,75,89.3,1582,448,0,0,,41,45,91.1,26,30,86.7,0,0.0,0,8,0,0,9,07/20/20,Brighton,Newcastle Utd
130,Tariq Lamptey,2.0,eng ENG,RB,85,31,39,79.5,530,92,1,1,100.0,24,29,82.8,6,9,66.7,0,0.0,0,1,1,0,2,07/20/20,Brighton,Newcastle Utd
131,Shane Duffy,4.0,ie IRL,"CB,RB",5,4,4,100.0,78,43,0,0,,3,3,100.0,1,1,100.0,0,0.0,0,0,0,0,0,07/20/20,Brighton,Newcastle Utd
132,Mathew Ryan,1.0,au AUS,GK,90,33,37,89.2,853,505,0,0,,19,19,100.0,14,18,77.8,0,0.0,0,0,0,0,0,07/20/20,Brighton,Newcastle Utd
133,Dwight Gayle,12.0,eng ENG,FW,73,4,11,36.4,88,8,0,1,0.0,3,7,42.9,1,3,33.3,0,0.0,0,0,0,0,0,07/20/20,Newcastle Utd,Brighton
134,Andy Carroll,7.0,eng ENG,FW,17,2,5,40.0,27,4,0,2,0.0,2,3,66.7,0,0,,0,0.0,1,0,0,0,0,07/20/20,Newcastle Utd,Brighton
135,Allan Saint-Maximin,10.0,fr FRA,FW,73,10,16,62.5,165,37,0,1,0.0,8,13,61.5,2,2,100.0,0,0.0,0,0,1,0,1,07/20/20,Newcastle Utd,Brighton
136,Joelinton,9.0,br BRA,FW,17,10,10,100.0,265,24,0,0,,5,5,100.0,5,5,100.0,0,0.0,1,1,0,0,1,07/20/20,Newcastle Utd,Brighton
137,Miguel Almiron,24.0,py PAR,CM,85,19,26,73.1,372,109,1,2,50.0,14,17,82.4,4,7,57.1,0,0.0,1,1,1,1,3,07/20/20,Newcastle Utd,Brighton
138,Valentino Lazaro,23.0,at AUT,CM,5,3,3,100.0,42,1,0,0,,3,3,100.0,0,0,,0,0.0,0,0,0,0,0,07/20/20,Newcastle Utd,Brighton
139,Jonjo Shelvey,8.0,eng ENG,CM,90,24,36,66.7,586,197,0,1,0.0,12,17,70.6,12,18,66.7,0,0.3,2,1,0,0,5,07/20/20,Newcastle Utd,Brighton
