,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
70,Davinson Sanchez,6.0,co COL,CB,90,0,0,0,0,0,0,1,0,39,7,1,1,4,0.0,0.0,0.0,0,0,23,29,79.3,152,21,40,0,0,07/19/20,Tottenham,Leicester City
71,Serge Aurier,24.0,ci CIV,RB,90,0,0,0,0,0,0,0,0,55,17,3,2,3,0.0,0.0,0.0,1,0,35,45,77.8,263,20,45,0,0,07/19/20,Tottenham,Leicester City
72,Hugo Lloris,1.0,fr FRA,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,14,25,56.0,360,10,30,0,0,07/19/20,Tottenham,Leicester City
73,Jamie Vardy,9.0,eng ENG,FW,90,0,0,0,0,6,1,0,0,30,9,1,0,3,0.9,0.9,0.0,2,0,9,17,52.9,7,11,16,0,0,07/19/20,Leicester City,Tottenham
74,Harvey Barnes,15.0,eng ENG,LW,82,0,0,0,0,1,1,0,0,56,10,0,0,2,0.0,0.0,0.1,4,0,40,44,90.9,118,43,215,1,2,07/19/20,Leicester City,Tottenham
75,George Hirst,45.0,eng ENG,LW,8,0,0,0,0,2,0,0,0,9,3,0,0,0,0.1,0.1,0.0,1,0,4,6,66.7,16,4,5,0,0,07/19/20,Leicester City,Tottenham
76,Ayoze Perez,17.0,es ESP,RW,58,0,0,0,0,3,2,0,0,34,16,1,0,2,0.2,0.2,0.2,3,0,21,22,95.5,45,19,55,2,3,07/19/20,Leicester City,Tottenham
77,Kelechi Iheanacho,14.0,ng NGA,RW,32,0,0,0,0,1,1,0,0,20,1,0,1,0,0.0,0.0,0.0,3,0,12,13,92.3,38,19,50,2,3,07/19/20,Leicester City,Tottenham
78,Youri Tielemans,8.0,be BEL,CM,69,0,0,0,0,0,0,0,0,75,14,1,0,4,0.0,0.0,0.2,5,0,40,62,64.5,175,45,88,2,3,07/19/20,Leicester City,Tottenham
79,Dennis Praet,26.0,be BEL,CM,21,0,0,0,0,2,0,0,0,23,5,0,2,2,0.0,0.0,0.0,0,0,14,17,82.4,55,14,87,0,0,07/19/20,Leicester City,Tottenham
80,Wilfred Ndidi,25.0,ng NGA,CM,69,0,0,0,0,1,0,0,0,62,22,3,0,1,0.0,0.0,0.0,1,0,52,57,91.2,178,38,97,0,0,07/19/20,Leicester City,Tottenham
81,Nampalys Mendy,24.0,fr FRA,CM,21,0,0,0,0,0,0,0,0,28,1,0,0,0,0.0,0.0,0.0,3,0,23,26,88.5,86,24,33,0,0,07/19/20,Leicester City,Tottenham
82,Luke Thomas,56.0,eng ENG,WB,90,0,0,0,0,0,0,0,0,88,12,1,1,2,0.0,0.0,0.3,5,0,64,77,83.1,310,66,116,1,2,07/19/20,Leicester City,Tottenham
