,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
125,Bobby Reid,14.0,jm JAM,FW,25-190,87,0,0,0,1,3,1,1,0,1,0,0,0,5,0,1,0.0,08/11/2018,Cardiff City,Bournemouth
126,Gary Madine,24.0,eng ENG,FW,27-352,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,08/11/2018,Cardiff City,Bournemouth
127,Junior Hoilett,33.0,ca CAN,"LM,RM",28-067,90,0,0,0,2,1,1,1,1,1,0,0,0,8,0,0,,08/11/2018,Cardiff City,Bournemouth
128,Joe Ralls,8.0,eng ENG,CM,24-302,90,0,0,0,0,2,0,2,0,0,0,0,0,20,2,2,50.0,08/11/2018,Cardiff City,Bournemouth
129,Callum Paterson,13.0,sco SCO,CM,23-302,61,0,0,0,0,1,0,0,0,0,0,0,0,9,4,5,44.4,08/11/2018,Cardiff City,Bournemouth
130,Danny Ward,9.0,eng ENG,"FW,CM",26-243,29,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,40.0,08/11/2018,Cardiff City,Bournemouth
131,Nathaniel Mendez-Laing,19.0,eng ENG,"RM,LM",26-118,62,0,0,0,0,0,0,5,1,2,0,0,0,5,3,1,75.0,08/11/2018,Cardiff City,Bournemouth
132,Josh Murphy,11.0,eng ENG,"LM,RM",23-168,28,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,08/11/2018,Cardiff City,Bournemouth
133,Sol Bamba,22.0,ci CIV,"DM,CM",33-210,90,0,0,0,3,0,0,0,0,0,0,0,0,20,5,1,83.3,08/11/2018,Cardiff City,Bournemouth
134,Joe Bennett,3.0,eng ENG,LB,28-136,90,0,0,0,1,4,0,1,2,1,0,0,0,11,0,1,0.0,08/11/2018,Cardiff City,Bournemouth
135,Bruno Ecuele Manga,5.0,ga GAB,CB,30-026,90,0,0,0,1,0,0,0,0,1,0,1,0,12,1,0,100.0,08/11/2018,Cardiff City,Bournemouth
136,Sean Morrison,4.0,eng ENG,CB,27-215,90,0,0,0,0,0,0,1,0,1,0,0,0,13,3,0,100.0,08/11/2018,Cardiff City,Bournemouth
137,Lee Peltier,2.0,eng ENG,RB,31-243,90,1,0,0,1,0,0,1,3,0,0,0,0,12,0,1,0.0,08/11/2018,Cardiff City,Bournemouth
138,Neil Etheridge,1.0,ph PHI,GK,28-185,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,08/11/2018,Cardiff City,Bournemouth
139,Aleksandar MitroviÄ,9.0,rs SRB,FW,23-329,90,0,0,0,0,1,0,0,0,0,0,0,0,4,2,3,40.0,08/11/2018,Fulham,Crystal Palace
140,Ryan Sessegnon,3.0,eng ENG,"LW,LB,RW",18-085,90,0,0,0,1,1,1,3,0,1,0,0,0,7,0,1,0.0,08/11/2018,Fulham,Crystal Palace
141,AndrÃ© SchÃ¼rrle,14.0,de GER,"RW,LW",27-278,60,0,0,0,1,1,0,4,0,0,0,0,0,2,0,0,,08/11/2018,Fulham,Crystal Palace
142,Aboubakar Kamara,47.0,fr FRA,RW,23-157,30,0,0,0,3,0,1,1,0,1,0,0,0,2,0,0,,08/11/2018,Fulham,Crystal Palace
143,Jean Seri,24.0,ci CIV,CM,27-023,81,0,0,0,0,2,0,2,4,5,0,0,0,10,0,0,,08/11/2018,Fulham,Crystal Palace
144,Stefan Johansen,8.0,no NOR,"AM,CM",27-215,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,08/11/2018,Fulham,Crystal Palace
145,Tom Cairney,10.0,sco SCO,"CM,LW,AM",27-203,90,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,08/11/2018,Fulham,Crystal Palace
146,Kevin McDonald,6.0,sco SCO,"DM,CM",29-280,90,1,0,0,0,1,0,0,3,4,0,0,0,14,1,0,100.0,08/11/2018,Fulham,Crystal Palace
147,Joe Bryan,23.0,eng ENG,LB,24-328,70,0,0,0,1,1,0,2,0,1,0,0,0,8,0,0,,08/11/2018,Fulham,Crystal Palace
148,Luciano Vietto,19.0,ar ARG,"LB,FW,LW",24-249,20,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,08/11/2018,Fulham,Crystal Palace
149,Maxime Le Marchand,20.0,fr FRA,CB,28-304,90,0,0,0,1,1,0,0,2,1,0,0,0,17,2,3,40.0,08/11/2018,Fulham,Crystal Palace
150,Calum Chambers,5.0,eng ENG,CB,23-203,90,0,0,0,1,0,0,0,3,1,0,0,0,18,2,2,50.0,08/11/2018,Fulham,Crystal Palace
151,Cyrus Christie,22.0,ie IRL,RB,25-315,90,0,0,0,1,1,0,9,1,0,0,0,0,5,0,3,0.0,08/11/2018,Fulham,Crystal Palace
152,Fabricio,31.0,es ESP,GK,30-223,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,08/11/2018,Fulham,Crystal Palace
153,Wilfried Zaha,11.0,ci CIV,FW,25-274,90,1,0,0,2,4,1,1,0,1,0,0,0,4,0,2,0.0,08/11/2018,Crystal Palace,Fulham
154,Christian Benteke,17.0,be BEL,FW,27-251,82,0,0,0,2,0,0,0,0,0,0,0,0,6,6,3,66.7,08/11/2018,Crystal Palace,Fulham
155,Alexander SÃ¸rloth,9.0,no NOR,FW,22-249,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,08/11/2018,Crystal Palace,Fulham
156,Jeffrey Schlupp,15.0,gh GHA,LW,25-231,90,1,0,0,2,0,0,1,1,0,0,0,0,8,1,0,100.0,08/11/2018,Crystal Palace,Fulham
157,Andros Townsend,10.0,eng ENG,RW,27-026,87,0,0,0,0,2,0,2,0,2,0,0,0,12,0,0,,08/11/2018,Crystal Palace,Fulham
158,Cheikhou KouyatÃ©,8.0,sn SEN,CM,28-233,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,08/11/2018,Crystal Palace,Fulham
