,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Ainsley Maitland-Niles,M,-0.11680000000000001,-1.7520000000000002,-0.10659999999999997,-2.4517999999999995,-4.203799999999999
Adam Webster,D,-0.1154,-3.5774,-0.09039999999999998,-0.6327999999999998,-4.2101999999999995
Sander Berge,M,-0.123,-1.23,-0.10659999999999997,-2.984799999999999,-4.2147999999999985
Jack Stacey,D,-0.137,-2.329,-0.09039999999999998,-1.8983999999999996,-4.227399999999999
Mesut Ozil,M,-0.12059999999999998,-2.1708,-0.10659999999999997,-2.1319999999999997,-4.3027999999999995
Jan Bednarek,D,-0.1164,-3.9576000000000002,-0.09039999999999998,-0.3615999999999999,-4.3192
Arthur Masuaku,D,-0.17980000000000002,-1.798,-0.09039999999999998,-2.5311999999999992,-4.329199999999999
Chris Wood,F,-0.10139999999999999,-2.9406,-0.15460000000000002,-1.3914000000000002,-4.332
Christian Atsu,M,-0.1538,-0.9228,-0.10659999999999997,-3.411199999999999,-4.333999999999999
Shane Long,F,-0.052800000000000014,-0.7920000000000003,-0.15460000000000002,-3.5558000000000005,-4.347800000000001
Jordan Ayew,F,-0.11380000000000001,-4.2106,-0.15460000000000002,-0.15460000000000002,-4.365200000000001
Oleksandr Zinchenko,M,-0.1366,-1.7758,-0.10659999999999997,-2.664999999999999,-4.440799999999999
Moise Kean,F,0.08440000000000003,0.5064000000000002,-0.15460000000000002,-4.9472000000000005,-4.4408
Alex Oxlade-Chamberlain,M,-0.12980000000000003,-2.2066000000000003,-0.10659999999999997,-2.2385999999999995,-4.4452
Frederic Guilbert,D,-0.13640000000000002,-3.0008000000000004,-0.09039999999999998,-1.4463999999999997,-4.4472000000000005
Scott Dann,D,-0.1632,-2.2848,-0.09039999999999998,-2.1695999999999995,-4.4544
Japhet Tanganga,D,-0.2626,-1.5756000000000001,-0.09039999999999998,-2.8927999999999994,-4.468399999999999
Yves Bissouma,M,-0.1346,-2.019,-0.10659999999999997,-2.4517999999999995,-4.4708
