,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Giovani Lo Celso,M,-0.02200000000000002,-0.3300000000000003,-0.031000000000000028,-0.7130000000000006,-1.043000000000001
Solly March,M,-0.019000000000000017,-0.20900000000000019,-0.031000000000000028,-0.8370000000000007,-1.046000000000001
Danny Rose,D,-0.05199999999999999,-0.05199999999999999,-0.027000000000000024,-0.9990000000000009,-1.0510000000000008
Manuel Lanzini,M,-0.02200000000000002,-0.3080000000000003,-0.031000000000000028,-0.7440000000000007,-1.052000000000001
Matej Vydra,F,-0.02200000000000002,-0.15400000000000014,-0.029000000000000026,-0.8990000000000008,-1.0530000000000008
Scott Dann,D,-0.029000000000000026,-0.40600000000000036,-0.027000000000000024,-0.6480000000000006,-1.054000000000001
Steven Alzate,F,-0.025000000000000022,-0.30000000000000027,-0.029000000000000026,-0.7540000000000007,-1.054000000000001
Johann Gudmundsson,M,-0.01100000000000001,-0.06600000000000006,-0.031000000000000028,-0.9920000000000009,-1.058000000000001
Erik Lamela,M,-0.02100000000000002,-0.2520000000000002,-0.031000000000000028,-0.8060000000000007,-1.058000000000001
Ben Osborn,M,-0.01100000000000001,-0.06600000000000006,-0.031000000000000028,-0.9920000000000009,-1.058000000000001
Arthur Masuaku,D,-0.031000000000000028,-0.3100000000000003,-0.027000000000000024,-0.7560000000000007,-1.066000000000001
Eddie Nketiah,F,-0.02300000000000002,-0.13800000000000012,-0.029000000000000026,-0.9280000000000008,-1.066000000000001
Matteo Guendouzi,M,-0.025000000000000022,-0.4250000000000004,-0.031000000000000028,-0.6510000000000006,-1.076000000000001
Alex Oxlade-Chamberlain,M,-0.025000000000000022,-0.4250000000000004,-0.031000000000000028,-0.6510000000000006,-1.076000000000001
Christian Atsu,M,-0.014000000000000012,-0.08400000000000007,-0.031000000000000028,-0.9920000000000009,-1.076000000000001
Gabriel Martinelli,M,-0.016000000000000014,-0.09600000000000009,-0.031000000000000028,-0.9920000000000009,-1.088000000000001
Daryl Janmaat,D,-0.035999999999999976,-0.25199999999999984,-0.027000000000000024,-0.8370000000000007,-1.0890000000000006
Dani Ceballos,M,-0.026000000000000023,-0.4420000000000004,-0.031000000000000028,-0.6510000000000006,-1.0930000000000009
Reiss Nelson,F,-0.028000000000000025,-0.19600000000000017,-0.029000000000000026,-0.8990000000000008,-1.095000000000001
Arnaut Danjuma Groeneveld,F,-0.031000000000000028,-0.18600000000000017,-0.029000000000000026,-0.9280000000000008,-1.114000000000001
Ainsley Maitland-Niles,M,-0.027000000000000024,-0.40500000000000036,-0.031000000000000028,-0.7130000000000006,-1.118000000000001
Bernard,M,-0.027000000000000024,-0.40500000000000036,-0.031000000000000028,-0.7130000000000006,-1.118000000000001
Ben Davies,D,-0.032999999999999974,-0.5279999999999996,-0.027000000000000024,-0.5940000000000005,-1.122
John Lundstram,D,-0.031000000000000028,-0.7750000000000007,-0.027000000000000024,-0.3510000000000003,-1.126000000000001
Caglar Soyuncu,D,-0.030000000000000027,-1.020000000000001,-0.027000000000000024,-0.1080000000000001,-1.128000000000001
Pedro Neto,F,-0.03199999999999997,-0.28799999999999976,-0.029000000000000026,-0.8410000000000007,-1.1290000000000004
Christian Fuchs,D,-0.03999999999999998,-0.31999999999999984,-0.027000000000000024,-0.8100000000000007,-1.1300000000000006
