,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
12,Patrick Bamford,9.0,eng ENG,FW,90,0,0,0,3,1,0,0,0,1,0,0,0,4,3,2,60.0,10/23/20,Leeds United,Aston Villa
13,Rodrigo Moreno,20.0,es ESP,AM,78,0,0,0,4,2,0,1,0,2,0,0,0,4,0,2,0.0,10/23/20,Leeds United,Aston Villa
14,Pablo Hernandez,19.0,es ESP,AM,12,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,10/23/20,Leeds United,Aston Villa
15,Jack Harrison,22.0,eng ENG,LM,90,0,0,0,1,1,0,8,0,1,0,0,0,5,0,2,0.0,10/23/20,Leeds United,Aston Villa
16,Mateusz Klich,43.0,pl POL,CM,90,1,0,0,4,2,0,3,1,2,0,0,0,13,1,0,100.0,10/23/20,Leeds United,Aston Villa
17,Pascal Struijk,21.0,nl NED,CM,20,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,,10/23/20,Leeds United,Aston Villa
18,Jamie Shackleton,46.0,eng ENG,CM,70,0,0,0,1,1,0,1,1,1,0,0,0,9,2,0,100.0,10/23/20,Leeds United,Aston Villa
19,Helder Costa,17.0,pt POR,RM,82,0,0,0,0,0,0,4,0,1,0,0,0,4,0,3,0.0,10/23/20,Leeds United,Aston Villa
20,Raphinha,18.0,br BRA,RM,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,10/23/20,Leeds United,Aston Villa
21,Ezgjan Alioski,10.0,mk MKD,LB,90,0,0,0,1,3,0,4,0,1,0,0,0,12,2,3,40.0,10/23/20,Leeds United,Aston Villa
22,Luke Ayling,2.0,eng ENG,CB,90,0,0,0,0,2,0,0,0,0,0,0,0,15,4,4,50.0,10/23/20,Leeds United,Aston Villa
23,Robin Koch,5.0,de GER,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,18,3,3,50.0,10/23/20,Leeds United,Aston Villa
24,Stuart Dallas,15.0,nir NIR,RB,90,0,0,0,2,1,0,1,0,1,0,0,0,11,1,3,25.0,10/23/20,Leeds United,Aston Villa
25,Illan Meslier,1.0,fr FRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,10/23/20,Leeds United,Aston Villa
26,Michail Antonio,30.0,eng ENG,FW,51,0,0,0,2,0,0,0,0,0,0,0,0,2,1,3,25.0,10/24/20,West Ham,Manchester City
27,Andriy Yarmolenko,7.0,ua UKR,"RW,FW",39,0,0,0,2,1,1,0,0,0,0,0,0,6,0,1,0.0,10/24/20,West Ham,Manchester City
28,Pablo Fornals,18.0,es ESP,LW,90,0,0,0,2,2,0,1,0,0,0,0,0,6,0,1,0.0,10/24/20,West Ham,Manchester City
29,Jarrod Bowen,20.0,eng ENG,"RW,FW",68,0,0,0,0,1,0,2,0,0,0,0,0,3,0,2,0.0,10/24/20,West Ham,Manchester City
30,Sebastien Haller,22.0,fr FRA,FW,22,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,83.3,10/24/20,West Ham,Manchester City
31,Declan Rice,41.0,eng ENG,CM,90,0,0,0,0,0,0,2,2,1,0,0,0,9,1,1,50.0,10/24/20,West Ham,Manchester City
32,Tomas Soucek,28.0,cz CZE,CM,90,0,0,0,2,0,0,1,1,1,0,0,0,13,5,2,71.4,10/24/20,West Ham,Manchester City
33,Arthur Masuaku,26.0,cd COD,WB,90,0,0,0,1,0,0,0,1,5,0,0,0,11,1,0,100.0,10/24/20,West Ham,Manchester City
34,Vladimir Coufal,5.0,cz CZE,WB,90,1,0,0,1,1,0,2,1,5,0,0,0,11,0,1,0.0,10/24/20,West Ham,Manchester City
35,Aaron Cresswell,3.0,eng ENG,CB,90,0,0,0,0,1,0,4,0,0,0,0,0,8,0,0,,10/24/20,West Ham,Manchester City
36,Angelo Ogbonna,21.0,it ITA,CB,90,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,,10/24/20,West Ham,Manchester City
37,Fabian Balbuena,4.0,py PAR,CB,90,1,0,0,2,0,0,0,1,1,0,0,0,9,2,2,50.0,10/24/20,West Ham,Manchester City
38,Åukasz FabiaÅski,1.0,pl POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,10/24/20,West Ham,Manchester City
