,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
102,Ryan Bertrand,3.0,eng ENG,LB,90,0,0,0,0,0,0,0,,0,7,2,28.6,2,3,2,4,2,0,2,0,,1,0,09/26/20,Southampton,Burnley
103,Jannik Vestergaard,4.0,dk DEN,CB,90,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,1,1,0,0,0,,17,0,09/26/20,Southampton,Burnley
104,Jan Bednarek,35.0,pl POL,CB,90,1,1,1,0,0,0,1,0.0,1,12,3,25.0,8,3,1,1,1,0,0,2,,17,0,09/26/20,Southampton,Burnley
105,Kyle Walker-Peters,2.0,eng ENG,RB,90,2,0,1,1,0,1,1,100.0,0,7,0,0.0,3,3,1,0,0,0,0,0,,0,0,09/26/20,Southampton,Burnley
106,Alex McCarthy,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,09/26/20,Southampton,Burnley
107,Oliver Burke,14.0,sco SCO,FW,73,3,2,0,2,1,0,1,0.0,1,20,9,45.0,3,9,8,0,0,0,0,1,,0,0,09/27/20,Sheffield Utd,Leeds United
108,Billy Sharp,10.0,eng ENG,FW,17,0,0,0,0,0,0,0,,0,4,1,25.0,1,1,2,0,0,0,0,0,,0,0,09/27/20,Sheffield Utd,Leeds United
109,David McGoldrick,17.0,ie IRL,FW,73,1,1,0,1,0,0,1,0.0,1,11,4,36.4,1,5,5,1,0,0,1,0,,1,0,09/27/20,Sheffield Utd,Leeds United
110,Oliver McBurnie,9.0,sco SCO,FW,17,0,0,0,0,0,0,0,,0,7,2,28.6,0,1,6,0,0,0,0,0,,1,0,09/27/20,Sheffield Utd,Leeds United
111,Ben Osborn,23.0,eng ENG,CM,90,2,2,1,0,1,0,4,0.0,4,28,5,17.9,13,8,7,3,0,0,3,0,,0,0,09/27/20,Sheffield Utd,Leeds United
112,John Lundstram,7.0,eng ENG,CM,63,1,0,0,0,1,0,1,0.0,1,10,1,10.0,3,4,3,1,1,0,0,1,,0,0,09/27/20,Sheffield Utd,Leeds United
113,Oliver Norwood,16.0,nir NIR,CM,27,0,0,0,0,0,0,0,,0,10,1,10.0,4,5,1,2,0,0,2,0,,1,0,09/27/20,Sheffield Utd,Leeds United
