,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
224,Marc Albrighton,11.0,eng ENG,CM,15.0,11.0,15.0,73.3,187.0,23.0,1.0,1.0,100.0,9.0,11.0,81.8,1.0,3.0,33.3,0,0.0,1.0,0.0,0.0,0.0,1.0,August-11-2019,Leicester City,Wolves
225,Wilfred Ndidi,25.0,ng NGA,DM,90.0,56.0,70.0,80.0,1103.0,214.0,1.0,2.0,50.0,40.0,48.0,83.3,15.0,20.0,75.0,0,0.0,0.0,4.0,0.0,0.0,3.0,August-11-2019,Leicester City,Wolves
226,Ben Chilwell,3.0,eng ENG,LB,90.0,80.0,97.0,82.5,1190.0,336.0,0.0,1.0,0.0,73.0,86.0,84.9,7.0,10.0,70.0,0,0.1,2.0,4.0,1.0,0.0,10.0,August-11-2019,Leicester City,Wolves
227,ÃaÄlar SÃ¶yÃ¼ncÃ¼,4.0,tr TUR,CB,90.0,70.0,74.0,94.6,1304.0,407.0,0.0,1.0,0.0,56.0,57.0,98.2,14.0,16.0,87.5,0,0.0,0.0,0.0,0.0,0.0,1.0,August-11-2019,Leicester City,Wolves
228,Jonny Evans,6.0,nir NIR,CB,90.0,66.0,76.0,86.8,1554.0,445.0,0.0,0.0,,39.0,45.0,86.7,27.0,31.0,87.1,0,0.0,0.0,0.0,0.0,0.0,2.0,August-11-2019,Leicester City,Wolves
229,Ricardo Pereira,21.0,pt POR,RB,90.0,76.0,88.0,86.4,1188.0,398.0,3.0,6.0,50.0,62.0,68.0,91.2,11.0,14.0,78.6,0,0.0,1.0,8.0,2.0,0.0,12.0,August-11-2019,Leicester City,Wolves
230,Kasper Schmeichel,1.0,dk DEN,GK,90.0,21.0,24.0,87.5,598.0,331.0,0.0,0.0,,10.0,10.0,100.0,11.0,14.0,78.6,0,0.0,0.0,0.0,0.0,0.0,1.0,August-11-2019,Leicester City,Wolves
231,Diogo Jota,18.0,pt POR,FW,75.0,18.0,23.0,78.3,236.0,74.0,1.0,2.0,50.0,15.0,18.0,83.3,2.0,3.0,66.7,0,0.1,1.0,1.0,1.0,0.0,3.0,August-11-2019,Wolves,Leicester City
232,Patrick Cutrone,10.0,it ITA,FW,15.0,3.0,3.0,100.0,43.0,28.0,0.0,0.0,,3.0,3.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Wolves,Leicester City
233,RaÃºl JimÃ©nez,9.0,mx MEX,FW,90.0,15.0,26.0,57.7,196.0,72.0,1.0,2.0,50.0,12.0,18.0,66.7,2.0,6.0,33.3,0,0.0,0.0,1.0,0.0,0.0,1.0,August-11-2019,Wolves,Leicester City
234,JoÃ£o Moutinho,28.0,pt POR,CM,90.0,25.0,30.0,83.3,486.0,170.0,1.0,2.0,50.0,19.0,22.0,86.4,5.0,6.0,83.3,0,0.1,1.0,0.0,0.0,0.0,4.0,August-11-2019,Wolves,Leicester City
235,Leander Dendoncker,32.0,be BEL,CM,90.0,15.0,20.0,75.0,211.0,40.0,0.0,2.0,0.0,15.0,18.0,83.3,0.0,0.0,,0,0.1,2.0,1.0,0.0,0.0,0.0,August-11-2019,Wolves,Leicester City
236,RÃºben Neves,8.0,pt POR,DM,80.0,29.0,39.0,74.4,707.0,300.0,0.0,1.0,0.0,16.0,20.0,80.0,13.0,18.0,72.2,0,0.2,1.0,4.0,0.0,0.0,0.0,August-11-2019,Wolves,Leicester City
237,Romain SaÃ¯ss,27.0,ma MAR,DM,10.0,5.0,9.0,55.6,96.0,6.0,0.0,1.0,0.0,3.0,3.0,100.0,2.0,5.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Wolves,Leicester City
238,Jonny Castro,19.0,es ESP,WB,90.0,29.0,43.0,67.4,335.0,162.0,1.0,2.0,50.0,28.0,37.0,75.7,0.0,4.0,0.0,0,0.0,1.0,0.0,0.0,0.0,5.0,August-11-2019,Wolves,Leicester City
239,Matt Doherty,2.0,ie IRL,WB,90.0,28.0,43.0,65.1,364.0,188.0,3.0,6.0,50.0,24.0,31.0,77.4,1.0,6.0,16.7,0,0.0,0.0,0.0,1.0,0.0,7.0,August-11-2019,Wolves,Leicester City
240,Willy Boly,15.0,fr FRA,CB,90.0,21.0,26.0,80.8,397.0,189.0,1.0,1.0,100.0,17.0,21.0,81.0,3.0,4.0,75.0,0,0.0,0.0,1.0,0.0,0.0,2.0,August-11-2019,Wolves,Leicester City
241,Conor Coady,16.0,eng ENG,CB,90.0,12.0,18.0,66.7,276.0,130.0,0.0,0.0,,8.0,10.0,80.0,4.0,8.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Wolves,Leicester City
242,Ryan Bennett,5.0,eng ENG,CB,90.0,10.0,16.0,62.5,225.0,73.0,0.0,0.0,,7.0,12.0,58.3,3.0,4.0,75.0,0,0.0,0.0,1.0,0.0,0.0,0.0,August-11-2019,Wolves,Leicester City
243,Rui PatrÃ­cio,11.0,pt POR,GK,90.0,14.0,28.0,50.0,738.0,610.0,0.0,0.0,,2.0,2.0,100.0,12.0,26.0,46.2,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Wolves,Leicester City
244,Anthony Martial,9.0,fr FRA,FW,90.0,22.0,28.0,78.6,313.0,62.0,1.0,3.0,33.3,20.0,23.0,87.0,1.0,2.0,50.0,0,0.1,1.0,2.0,1.0,0.0,3.0,August-11-2019,Manchester Utd,Chelsea
245,Marcus Rashford,10.0,eng ENG,LW,85.0,14.0,23.0,60.9,271.0,74.0,0.0,4.0,0.0,12.0,16.0,75.0,2.0,3.0,66.7,0,0.0,0.0,0.0,2.0,0.0,3.0,August-11-2019,Manchester Utd,Chelsea
246,Mason Greenwood,26.0,eng ENG,LW,5.0,3.0,5.0,60.0,47.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Manchester Utd,Chelsea
247,Jesse Lingard,14.0,eng ENG,"RW,AM",85.0,23.0,26.0,88.5,339.0,37.0,1.0,1.0,100.0,20.0,21.0,95.2,2.0,4.0,50.0,0,0.0,1.0,2.0,0.0,0.0,0.0,August-11-2019,Manchester Utd,Chelsea
248,Juan Mata,8.0,es ESP,AM,5.0,5.0,5.0,100.0,45.0,4.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Manchester Utd,Chelsea
