"","Date","X1","Player","#","Nation","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Team","Opponent","game_week"
"109","01/01/20",5583,"Paulo Gazzaniga",22,"ar ARG","GK",90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,18,28,64.3,362,20,55,0,0,"Tottenham","Southampton",21
"110","01/01/20",5584,"Troy Deeney",9,"eng ENG","FW,AM",90,0,0,0,0,0,0,1,0,39,27,0,0,1,0,0,0.3,2,0,19,32,59.4,97,15,21,0,2,"Watford","Wolves",21
"111","01/01/20",5585,"Gerard Deulofeu",7,"es ESP","LW",72,1,1,0,0,3,1,0,0,40,26,2,0,0,0.2,0.2,0.4,4,1,25,30,83.3,58,30,131,3,4,"Watford","Wolves",21
"112","01/01/20",5586,"Adam Masina",11,"it ITA","RB",18,0,0,0,0,0,0,0,0,12,2,1,1,1,0,0,0,0,0,3,5,60,48,4,24,0,0,"Watford","Wolves",21
"113","01/01/20",5587,"Ismaila Sarr",23,"sn SEN","RW,CM",89,0,1,0,0,2,1,0,0,35,24,0,1,0,0.4,0.4,0.1,5,1,20,22,90.9,48,30,134,4,10,"Watford","Wolves",21
"114","01/01/20",5588,"Roberto Pereyra",37,"ar ARG","CM",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,100,3,0,0,0,0,"Watford","Wolves",21
"115","01/01/20",5589,"Abdoulaye Doucoure",16,"fr FRA","AM,DM",90,1,0,0,0,1,1,0,0,57,30,1,0,4,0.1,0.1,0.1,3,0,35,46,76.1,147,31,85,1,2,"Watford","Wolves",21
"116","01/01/20",5590,"Etienne Capoue",29,"fr FRA","DM",90,0,0,0,0,1,0,0,0,56,25,1,1,1,0,0,0,0,0,31,43,72.1,105,27,19,1,3,"Watford","Wolves",21
"117","01/01/20",5591,"Nathaniel Chalobah",14,"eng ENG","DM,CM",90,0,0,0,0,2,0,0,0,53,16,3,3,1,0,0,0,1,1,27,33,81.8,113,24,49,0,2,"Watford","Wolves",21
"118","01/01/20",5592,"Kiko Femenia",21,"es ESP","LB",59,0,0,0,0,0,0,0,0,35,10,1,1,0,0,0,0,0,0,25,32,78.1,131,18,85,0,0,"Watford","Wolves",21
