,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
6188,Dale Stephens,6.0,eng ENG,DM,28-215,90.0,4.0,3,3.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,5.0,25.0,12.0,7.0,1.0,1.0,0.0,0.0,1.0,0,,1.0,0.0,01/13/2018,Brighton,West Brom
6189,GaÃ«tan Bong,3.0,cm CMR,LB,29-263,90.0,2.0,2,2.0,0.0,0.0,2.0,2.0,100.0,0.0,23.0,5.0,21.7,15.0,7.0,1.0,3.0,0.0,0.0,3.0,0,,3.0,0.0,01/13/2018,Brighton,West Brom
6190,Lewis Dunk,5.0,eng ENG,CB,26-053,90.0,3.0,3,3.0,0.0,0.0,0.0,3.0,0.0,3.0,14.0,3.0,21.4,10.0,4.0,0.0,6.0,4.0,0.0,2.0,1,,5.0,0.0,01/13/2018,Brighton,West Brom
6191,Shane Duffy,22.0,ie IRL,CB,26-012,90.0,2.0,1,1.0,1.0,0.0,2.0,2.0,100.0,0.0,6.0,2.0,33.3,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0,,6.0,0.0,01/13/2018,Brighton,West Brom
6192,Bruno,2.0,es ESP,RB,37-104,90.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,4.0,40.0,6.0,4.0,0.0,2.0,0.0,0.0,2.0,1,,3.0,0.0,01/13/2018,Brighton,West Brom
6193,Mathew Ryan,1.0,au AUS,GK,25-280,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Brighton,West Brom
6194,Dwight Gayle,9.0,eng ENG,FW,27-088,64.0,3.0,2,0.0,2.0,1.0,2.0,2.0,100.0,0.0,15.0,6.0,40.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6195,Joselu,21.0,es ESP,FW,27-292,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6196,Christian Atsu,30.0,gh GHA,AM,26-003,90.0,2.0,0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,10.0,4.0,40.0,2.0,3.0,5.0,4.0,0.0,0.0,4.0,0,,2.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6197,Ayoze PÃ©rez,17.0,es ESP,AM,24-174,90.0,1.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,13.0,4.0,30.8,0.0,7.0,6.0,3.0,0.0,0.0,3.0,0,,1.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6198,Matt Ritchie,11.0,sco SCO,AM,28-125,90.0,1.0,0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,13.0,4.0,30.8,4.0,2.0,7.0,2.0,0.0,0.0,2.0,2,,0.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6199,Mohamed DiamÃ©,10.0,sn SEN,DM,30-213,90.0,6.0,6,0.0,4.0,2.0,2.0,3.0,66.7,1.0,12.0,3.0,25.0,3.0,7.0,2.0,6.0,1.0,0.0,5.0,1,,3.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6200,Jonjo Shelvey,8.0,eng ENG,DM,25-320,82.0,2.0,2,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,28.6,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6201,Mikel Merino,23.0,es ESP,DM,21-205,8.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6202,Paul Dummett,3.0,wal WAL,LB,26-109,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,50.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,3,,11.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6203,Ciaran Clark,2.0,ie IRL,CB,28-109,90.0,2.0,0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,2.0,50.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,9.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6204,Jamaal Lascelles,6.0,eng ENG,CB,24-063,90.0,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2,,6.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6205,DeAndre Yedlin,22.0,us USA,RB,24-188,90.0,3.0,2,1.0,1.0,1.0,2.0,2.0,100.0,0.0,8.0,2.0,25.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,2,,3.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6206,Karl Darlow,26.0,eng ENG,GK,27-097,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Newcastle Utd,Swansea City
6207,Oliver McBurnie,62.0,sco SCO,FW,21-223,71.0,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,16.0,9.0,56.3,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0,,2.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6208,Wilfried Bony,2.0,ci CIV,FW,29-034,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6209,Jordan Ayew,18.0,gh GHA,FW,26-124,90.0,2.0,2,0.0,1.0,1.0,0.0,1.0,0.0,1.0,28.0,11.0,39.3,5.0,13.0,10.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6210,Tom Carroll,14.0,eng ENG,LW,25-230,90.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,24.0,9.0,37.5,10.0,9.0,5.0,1.0,0.0,0.0,1.0,1,,1.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6211,Nathan Dyer,12.0,eng ENG,RW,30-045,85.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,17.0,8.0,47.1,4.0,9.0,4.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6212,Luciano Narsingh,11.0,nl NED,RW,27-122,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6213,Sam Clucas,17.0,eng ENG,CM,27-110,90.0,1.0,0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,15.0,6.0,40.0,4.0,10.0,1.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6214,Ki Sung-yueng,4.0,kr KOR,CM,28-354,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,6.0,60.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6215,Martin Olsson,16.0,se SWE,LB,29-241,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,40.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0,,2.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6216,Alfie Mawson,6.0,eng ENG,CB,23-359,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,3.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6217,Kyle Bartley,27.0,eng ENG,CB,26-236,90.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,14.3,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0,,6.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6218,Mike van der Hoorn,5.0,nl NED,RB,25-090,65.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6219,Connor Roberts,52.0,wal WAL,RB,22-112,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6220,Åukasz FabiaÅski,1.0,pl POL,GK,32-270,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Swansea City,Newcastle Utd
6221,Harry Kane,10.0,eng ENG,FW,24-169,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Tottenham,Everton
6222,Son Heung-min,7.0,kr KOR,LW,25-189,90.0,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,16.0,4.0,25.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Tottenham,Everton
6223,Christian Eriksen,23.0,dk DEN,RW,25-333,87.0,1.0,0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,10.0,2.0,20.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,01/13/2018,Tottenham,Everton
6224,Ãrik Lamela,11.0,ar ARG,RW,25-315,3.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Tottenham,Everton
6225,Dele Alli,20.0,eng ENG,AM,21-277,90.0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,15.0,6.0,40.0,1.0,9.0,5.0,4.0,1.0,0.0,3.0,0,,2.0,0.0,01/13/2018,Tottenham,Everton
6226,Mousa DembÃ©lÃ©,19.0,be BEL,DM,30-181,82.0,2.0,2,1.0,1.0,0.0,1.0,1.0,100.0,0.0,16.0,7.0,43.8,4.0,9.0,3.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,01/13/2018,Tottenham,Everton
6227,Moussa Sissoko,17.0,fr FRA,DM,28-150,8.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,01/13/2018,Tottenham,Everton
6228,Eric Dier,15.0,eng ENG,DM,23-363,74.0,3.0,2,0.0,3.0,0.0,1.0,1.0,100.0,0.0,12.0,5.0,41.7,1.0,11.0,0.0,1.0,1.0,0.0,0.0,0,,1.0,0.0,01/13/2018,Tottenham,Everton
6229,Victor Wanyama,12.0,ke KEN,DM,26-202,16.0,3.0,2,1.0,2.0,0.0,2.0,2.0,100.0,0.0,4.0,2.0,50.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,01/13/2018,Tottenham,Everton
6230,Ben Davies,33.0,wal WAL,LB,24-264,90.0,3.0,3,1.0,1.0,1.0,2.0,3.0,66.7,1.0,11.0,4.0,36.4,7.0,3.0,1.0,1.0,0.0,0.0,1.0,0,,5.0,0.0,01/13/2018,Tottenham,Everton
6231,Jan Vertonghen,5.0,be BEL,CB,30-264,90.0,2.0,2,2.0,0.0,0.0,1.0,1.0,100.0,0.0,8.0,4.0,50.0,5.0,3.0,0.0,2.0,0.0,0.0,2.0,2,,7.0,0.0,01/13/2018,Tottenham,Everton
6232,Davinson SÃ¡nchez,6.0,co COL,CB,21-215,90.0,2.0,1,2.0,0.0,0.0,1.0,2.0,50.0,1.0,12.0,8.0,66.7,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,,2.0,0.0,01/13/2018,Tottenham,Everton
6233,Serge Aurier,24.0,ci CIV,RB,25-020,90.0,2.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,14.0,7.0,50.0,7.0,6.0,1.0,2.0,0.0,0.0,2.0,0,,5.0,0.0,01/13/2018,Tottenham,Everton
6234,Hugo Lloris,1.0,fr FRA,GK,31-018,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Tottenham,Everton
6235,Cenk Tosun,14.0,tr TUR,FW,26-220,62.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,4.0,18.2,1.0,12.0,9.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,01/13/2018,Everton,Tottenham
6236,Dominic Calvert-Lewin,29.0,eng ENG,FW,20-303,28.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Everton,Tottenham
6237,Gylfi SigurÃ°sson,18.0,is ISL,LW,28-127,90.0,1.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,28.0,6.0,21.4,12.0,10.0,6.0,2.0,1.0,0.0,1.0,0,,2.0,0.0,01/13/2018,Everton,Tottenham
6238,Yannick Bolasie,7.0,cd COD,RW,28-234,57.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,17.0,7.0,41.2,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Everton,Tottenham
6239,Aaron Lennon,12.0,eng ENG,RW,30-272,33.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,1.0,7.7,2.0,8.0,3.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,01/13/2018,Everton,Tottenham
6240,Wayne Rooney,10.0,eng ENG,AM,32-081,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,3.0,15.0,3.0,10.0,7.0,2.0,1.0,0.0,1.0,1,,1.0,0.0,01/13/2018,Everton,Tottenham
6241,Idrissa Gana Gueye,17.0,sn SEN,CM,28-109,90.0,5.0,3,2.0,2.0,1.0,1.0,2.0,50.0,1.0,43.0,12.0,27.9,18.0,22.0,3.0,3.0,0.0,0.0,3.0,0,,1.0,1.0,01/13/2018,Everton,Tottenham
6242,James McCarthy,16.0,ie IRL,CM,27-062,72.0,4.0,3,1.0,3.0,0.0,0.0,5.0,0.0,5.0,34.0,10.0,29.4,10.0,20.0,4.0,3.0,1.0,0.0,2.0,2,,3.0,0.0,01/13/2018,Everton,Tottenham
6243,Morgan Schneiderlin,2.0,fr FRA,CM,28-066,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,0,,0.0,0.0,01/13/2018,Everton,Tottenham
6244,Cuco Martina,15.0,cw CUW,LB,28-110,90.0,1.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,15.0,4.0,26.7,8.0,7.0,0.0,3.0,1.0,0.0,2.0,1,,6.0,0.0,01/13/2018,Everton,Tottenham
6245,Phil Jagielka,6.0,eng ENG,CB,35-149,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,4.0,23.5,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0,,7.0,0.0,01/13/2018,Everton,Tottenham
6246,Mason Holgate,30.0,eng ENG,CB,21-083,90.0,5.0,4,2.0,3.0,0.0,1.0,2.0,50.0,1.0,15.0,7.0,46.7,10.0,5.0,0.0,2.0,1.0,0.0,1.0,3,,3.0,0.0,01/13/2018,Everton,Tottenham
6247,Jonjoe Kenny,43.0,eng ENG,RB,20-304,90.0,1.0,1,0.0,1.0,0.0,0.0,3.0,0.0,3.0,14.0,1.0,7.1,6.0,7.0,1.0,3.0,0.0,0.0,3.0,0,,1.0,0.0,01/13/2018,Everton,Tottenham
6248,Jordan Pickford,1.0,eng ENG,GK,23-312,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/13/2018,Everton,Tottenham
6249,Callum Wilson,13.0,eng ENG,FW,25-321,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,12.0,7.0,58.3,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,01/14/2018,Bournemouth,Arsenal
6250,Benik Afobe,9.0,cd COD,FW,24-336,,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Bournemouth,Arsenal
6251,Ryan Fraser,24.0,sco SCO,AM,23-324,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,01/14/2018,Bournemouth,Arsenal
6252,Jordon Ibe,33.0,eng ENG,AM,22-037,86.0,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,10.0,3.0,30.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,01/14/2018,Bournemouth,Arsenal
6253,Marc Pugh,7.0,eng ENG,AM,30-287,4.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Bournemouth,Arsenal
6254,Charlie Daniels,11.0,eng ENG,LM,31-129,63.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,01/14/2018,Bournemouth,Arsenal
6255,Lys Mousset,31.0,fr FRA,LM,21-340,27.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,33.3,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0,,1.0,0.0,01/14/2018,Bournemouth,Arsenal
6256,Dan Gosling,4.0,eng ENG,CM,27-347,90.0,6.0,3,3.0,3.0,0.0,3.0,7.0,42.9,4.0,14.0,4.0,28.6,4.0,4.0,6.0,4.0,0.0,0.0,4.0,1,,1.0,0.0,01/14/2018,Bournemouth,Arsenal
6257,Lewis Cook,16.0,eng ENG,CM,20-345,90.0,2.0,1,2.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,3,,1.0,0.0,01/14/2018,Bournemouth,Arsenal
6258,Adam Smith,15.0,eng ENG,RM,26-260,90.0,5.0,2,2.0,2.0,1.0,3.0,5.0,60.0,2.0,8.0,3.0,37.5,1.0,4.0,3.0,6.0,1.0,0.0,5.0,4,,1.0,0.0,01/14/2018,Bournemouth,Arsenal
6259,Nathan AkÃ©,5.0,nl NED,CB,22-330,90.0,5.0,2,0.0,3.0,2.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,2,,5.0,0.0,01/14/2018,Bournemouth,Arsenal
6260,Steve Cook,3.0,eng ENG,CB,26-270,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1,,7.0,0.0,01/14/2018,Bournemouth,Arsenal
6261,Simon Francis,2.0,eng ENG,CB,32-332,90.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,4.0,0.0,01/14/2018,Bournemouth,Arsenal
6262,Asmir BegoviÄ,27.0,ba BIH,GK,30-208,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Bournemouth,Arsenal
6263,Alexandre Lacazette,9.0,fr FRA,FW,26-231,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,7.0,50.0,2.0,4.0,8.0,3.0,0.0,0.0,3.0,2,,0.0,0.0,01/14/2018,Arsenal,Bournemouth
6264,Danny Welbeck,23.0,eng ENG,"AM,LM",27-049,90.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,18.0,4.0,22.2,1.0,8.0,9.0,3.0,0.0,0.0,3.0,1,,0.0,0.0,01/14/2018,Arsenal,Bournemouth
6265,Alex Iwobi,17.0,ng NGA,AM,21-256,76.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,2.0,0.0,4.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,01/14/2018,Arsenal,Bournemouth
6266,Theo Walcott,14.0,eng ENG,"RM,AM",28-304,14.0,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,25.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Arsenal,Bournemouth
6267,Ainsley Maitland-Niles,30.0,eng ENG,"LM,LB",20-138,90.0,2.0,1,1.0,0.0,1.0,1.0,4.0,25.0,3.0,18.0,6.0,33.3,15.0,2.0,1.0,2.0,0.0,0.0,2.0,1,,2.0,0.0,01/14/2018,Arsenal,Bournemouth
6268,Granit Xhaka,29.0,ch SUI,"CM,DM",25-109,90.0,3.0,2,2.0,1.0,0.0,0.0,2.0,0.0,2.0,18.0,6.0,33.3,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0,,5.0,0.0,01/14/2018,Arsenal,Bournemouth
6269,Jack Wilshere,10.0,eng ENG,CM,26-013,90.0,2.0,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,6.0,31.6,8.0,9.0,2.0,2.0,0.0,0.0,2.0,2,,1.0,0.0,01/14/2018,Arsenal,Bournemouth
6270,HÃ©ctor BellerÃ­n,24.0,es ESP,"RM,RB",22-301,90.0,4.0,4,2.0,1.0,1.0,0.0,0.0,,0.0,18.0,7.0,38.9,7.0,5.0,6.0,5.0,0.0,0.0,5.0,0,,0.0,0.0,01/14/2018,Arsenal,Bournemouth
6271,Rob Holding,16.0,eng ENG,CB,22-116,90.0,1.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,12.0,4.0,33.3,6.0,6.0,0.0,3.0,1.0,0.0,2.0,3,,3.0,0.0,01/14/2018,Arsenal,Bournemouth
6272,Shkodran Mustafi,20.0,de GER,CB,25-272,90.0,4.0,2,4.0,0.0,0.0,1.0,3.0,33.3,2.0,15.0,5.0,33.3,10.0,3.0,2.0,0.0,0.0,0.0,0.0,1,,4.0,0.0,01/14/2018,Arsenal,Bournemouth
6273,Calum Chambers,21.0,eng ENG,CB,22-359,74.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,0,,4.0,0.0,01/14/2018,Arsenal,Bournemouth
6274,Aaron Ramsey,8.0,wal WAL,"CM,CB",27-019,16.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,66.7,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Arsenal,Bournemouth
6275,Petr Äech,33.0,cz CZE,GK,35-239,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Arsenal,Bournemouth
6276,Roberto Firmino,9.0,br BRA,FW,26-104,90.0,3.0,3,1.0,1.0,1.0,0.0,0.0,,0.0,42.0,7.0,16.7,2.0,17.0,23.0,2.0,0.0,0.0,2.0,1,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6277,Sadio ManÃ©,19.0,sn SEN,LW,25-279,90.0,2.0,2,1.0,1.0,0.0,1.0,2.0,50.0,1.0,36.0,9.0,25.0,15.0,13.0,8.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6278,Ragnar Klavan,17.0,ee EST,"LW,CB",32-076,,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6279,Mohamed Salah,11.0,eg EGY,RW,25-213,88.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,4.0,13.3,2.0,15.0,13.0,2.0,0.0,0.0,2.0,1,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6280,Adam Lallana,20.0,eng ENG,RW,29-249,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6281,Georginio Wijnaldum,5.0,nl NED,CM,27-064,90.0,3.0,1,2.0,1.0,0.0,1.0,1.0,100.0,0.0,25.0,5.0,20.0,9.0,13.0,3.0,1.0,0.0,0.0,1.0,3,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6282,Emre Can,23.0,de GER,CM,24-002,79.0,3.0,1,2.0,0.0,1.0,0.0,0.0,,0.0,38.0,12.0,31.6,10.0,25.0,3.0,5.0,0.0,0.0,5.0,4,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6283,James Milner,7.0,eng ENG,CM,32-010,11.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,22.2,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0,,1.0,0.0,01/14/2018,Liverpool,Manchester City
6284,Alex Oxlade-Chamberlain,21.0,eng ENG,CM,24-152,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,51.0,21.0,41.2,12.0,23.0,16.0,5.0,0.0,0.0,5.0,2,,0.0,0.0,01/14/2018,Liverpool,Manchester City
6285,Andrew Robertson,26.0,sco SCO,LB,23-309,90.0,6.0,3,5.0,0.0,1.0,1.0,3.0,33.3,2.0,45.0,11.0,24.4,24.0,14.0,7.0,4.0,0.0,0.0,4.0,2,,6.0,0.0,01/14/2018,Liverpool,Manchester City
6286,Dejan Lovren,6.0,hr CRO,CB,28-193,90.0,2.0,0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,16.0,4.0,25.0,11.0,5.0,0.0,1.0,1.0,0.0,0.0,3,,2.0,0.0,01/14/2018,Liverpool,Manchester City
6287,JoÃ«l Matip,32.0,cm CMR,CB,26-159,90.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,9.0,4.0,44.4,5.0,4.0,0.0,1.0,1.0,0.0,0.0,2,,5.0,0.0,01/14/2018,Liverpool,Manchester City
6288,Joe Gomez,12.0,eng ENG,RB,20-236,90.0,6.0,3,4.0,2.0,0.0,1.0,2.0,50.0,1.0,33.0,12.0,36.4,18.0,13.0,2.0,2.0,1.0,0.0,1.0,4,,2.0,0.0,01/14/2018,Liverpool,Manchester City
