,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
8111,Aaron Mooy,10.0,au AUS,CM,27-176,69.0,73.0,99.0,73.7,1224.0,229.0,40.0,44.0,90.9,25.0,34.0,73.5,7.0,18.0,38.9,0,0.1,4.0,7.0,1.0,0.0,3.0,03/10/2018,Huddersfield,Swansea City
8112,Danny Williams,19.0,us USA,CM,29-002,21.0,12.0,14.0,85.7,207.0,33.0,4.0,4.0,100.0,8.0,9.0,88.9,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,03/10/2018,Huddersfield,Swansea City
8113,Jonathan Hogg,6.0,eng ENG,DM,29-094,90.0,108.0,112.0,96.4,2372.0,581.0,34.0,34.0,100.0,54.0,56.0,96.4,20.0,22.0,90.9,0,0.1,2.0,26.0,1.0,0.0,11.0,03/10/2018,Huddersfield,Swansea City
8114,Scott Malone,3.0,eng ENG,LB,26-350,90.0,74.0,92.0,80.4,1199.0,320.0,46.0,55.0,83.6,20.0,26.0,76.9,7.0,10.0,70.0,0,0.1,2.0,1.0,2.0,1.0,6.0,03/10/2018,Huddersfield,Swansea City
8115,Christopher Schindler,26.0,de GER,CB,27-315,90.0,72.0,75.0,96.0,1265.0,432.0,32.0,33.0,97.0,33.0,35.0,94.3,7.0,7.0,100.0,0,0.0,0.0,9.0,0.0,0.0,7.0,03/10/2018,Huddersfield,Swansea City
8116,Mathias JÃ¸rgensen,25.0,dk DEN,CB,27-321,90.0,71.0,79.0,89.9,1388.0,455.0,22.0,24.0,91.7,35.0,39.0,89.7,12.0,13.0,92.3,0,0.0,0.0,13.0,0.0,0.0,8.0,03/10/2018,Huddersfield,Swansea City
8117,Florent Hadergjonaj,33.0,xk KVX,RB,23-222,90.0,73.0,100.0,73.0,1320.0,552.0,34.0,41.0,82.9,26.0,37.0,70.3,11.0,20.0,55.0,0,0.6,8.0,7.0,9.0,6.0,12.0,03/10/2018,Huddersfield,Swansea City
8118,Jonas LÃ¶ssl,1.0,dk DEN,GK,29-037,90.0,14.0,15.0,93.3,359.0,215.0,1.0,1.0,100.0,9.0,9.0,100.0,4.0,5.0,80.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Huddersfield,Swansea City
8119,Jordan Ayew,18.0,gh GHA,FW,26-180,10.0,2.0,2.0,100.0,45.0,17.0,0.0,0.0,,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,03/10/2018,Swansea City,Huddersfield
8120,Sam Clucas,17.0,eng ENG,LM,27-166,90.0,7.0,18.0,38.9,165.0,19.0,4.0,8.0,50.0,1.0,5.0,20.0,2.0,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8121,Ki Sung-yueng,4.0,kr KOR,CM,29-045,89.0,9.0,14.0,64.3,142.0,34.0,5.0,6.0,83.3,3.0,5.0,60.0,1.0,3.0,33.3,0,0.0,0.0,1.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8122,Tom Carroll,14.0,eng ENG,CM,25-286,1.0,2.0,2.0,100.0,30.0,11.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8123,Andy King,24.0,wal WAL,CM,29-132,90.0,9.0,14.0,64.3,144.0,80.0,6.0,6.0,100.0,2.0,5.0,40.0,1.0,3.0,33.3,0,0.0,0.0,1.0,0.0,0.0,2.0,03/10/2018,Swansea City,Huddersfield
8124,AndrÃ© Ayew,19.0,gh GHA,RM,28-083,73.0,15.0,18.0,83.3,180.0,15.0,12.0,13.0,92.3,3.0,3.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8125,Tammy Abraham,10.0,eng ENG,RM,20-159,17.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8126,Martin Olsson,16.0,se SWE,LB,29-297,90.0,8.0,18.0,44.4,176.0,99.0,3.0,5.0,60.0,3.0,7.0,42.9,2.0,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8127,Alfie Mawson,6.0,eng ENG,CB,24-050,90.0,4.0,15.0,26.7,125.0,60.0,1.0,3.0,33.3,1.0,2.0,50.0,2.0,9.0,22.2,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8128,Federico FernÃ¡ndez,33.0,ar ARG,CB,29-017,90.0,2.0,9.0,22.2,37.0,13.0,1.0,2.0,50.0,1.0,4.0,25.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8129,Mike van der Hoorn,5.0,nl NED,CB,25-146,90.0,9.0,16.0,56.3,166.0,56.0,6.0,6.0,100.0,1.0,3.0,33.3,2.0,7.0,28.6,0,0.0,0.0,0.0,0.0,0.0,1.0,03/10/2018,Swansea City,Huddersfield
8130,Kyle Naughton,26.0,eng ENG,RB,29-119,90.0,15.0,23.0,65.2,223.0,70.0,10.0,12.0,83.3,4.0,7.0,57.1,1.0,3.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8131,Åukasz FabiaÅski,1.0,pl POL,GK,32-326,90.0,13.0,31.0,41.9,793.0,665.0,0.0,0.0,,1.0,1.0,100.0,12.0,30.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Swansea City,Huddersfield
8132,Olivier Giroud,18.0,fr FRA,FW,31-161,72.0,16.0,20.0,80.0,173.0,44.0,10.0,12.0,83.3,3.0,4.0,75.0,1.0,1.0,100.0,0,0.4,3.0,1.0,2.0,0.0,3.0,03/10/2018,Chelsea,Crystal Palace
8133,Ãlvaro Morata,9.0,es ESP,FW,25-138,18.0,4.0,5.0,80.0,44.0,3.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Chelsea,Crystal Palace
8134,Eden Hazard,10.0,be BEL,AM,27-062,88.0,45.0,51.0,88.2,781.0,184.0,23.0,26.0,88.5,15.0,17.0,88.2,6.0,7.0,85.7,0,0.6,6.0,2.0,4.0,0.0,6.0,03/10/2018,Chelsea,Crystal Palace
8135,TiemouÃ© Bakayoko,14.0,fr FRA,AM,23-205,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,03/10/2018,Chelsea,Crystal Palace
8136,Willian,22.0,br BRA,AM,29-213,90.0,48.0,59.0,81.4,866.0,205.0,25.0,27.0,92.6,18.0,22.0,81.8,4.0,7.0,57.1,0,0.7,3.0,4.0,4.0,1.0,4.0,03/10/2018,Chelsea,Crystal Palace
8137,N'Golo KantÃ©,7.0,fr FRA,DM,26-346,90.0,66.0,68.0,97.1,1477.0,329.0,23.0,23.0,100.0,26.0,27.0,96.3,16.0,16.0,100.0,1,0.0,1.0,8.0,3.0,0.0,8.0,03/10/2018,Chelsea,Crystal Palace
8138,Cesc FÃ bregas,4.0,es ESP,DM,30-310,88.0,67.0,83.0,80.7,1226.0,280.0,28.0,29.0,96.6,28.0,31.0,90.3,10.0,22.0,45.5,0,0.1,3.0,4.0,3.0,1.0,7.0,03/10/2018,Chelsea,Crystal Palace
8139,Pedro,11.0,es ESP,DM,30-225,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,03/10/2018,Chelsea,Crystal Palace
8140,Marcos Alonso,3.0,es ESP,WB,27-072,90.0,38.0,52.0,73.1,705.0,110.0,17.0,22.0,77.3,13.0,17.0,76.5,5.0,6.0,83.3,0,0.2,1.0,2.0,1.0,1.0,1.0,03/10/2018,Chelsea,Crystal Palace
8141,Davide Zappacosta,21.0,it ITA,WB,25-272,90.0,43.0,60.0,71.7,679.0,221.0,27.0,32.0,84.4,13.0,17.0,76.5,3.0,7.0,42.9,0,0.1,3.0,2.0,2.0,2.0,3.0,03/10/2018,Chelsea,Crystal Palace
8142,Gary Cahill,24.0,eng ENG,CB,32-081,90.0,48.0,61.0,78.7,1046.0,318.0,17.0,20.0,85.0,21.0,25.0,84.0,10.0,15.0,66.7,0,0.0,0.0,6.0,0.0,0.0,2.0,03/10/2018,Chelsea,Crystal Palace
8143,Andreas Christensen,27.0,dk DEN,CB,21-334,90.0,56.0,59.0,94.9,1616.0,328.0,8.0,9.0,88.9,21.0,21.0,100.0,27.0,29.0,93.1,0,0.0,0.0,1.0,0.0,0.0,4.0,03/10/2018,Chelsea,Crystal Palace
8144,CÃ©sar Azpilicueta,28.0,es ESP,CB,28-194,90.0,74.0,83.0,89.2,1571.0,558.0,23.0,24.0,95.8,39.0,44.0,88.6,11.0,14.0,78.6,0,0.0,1.0,12.0,1.0,0.0,13.0,03/10/2018,Chelsea,Crystal Palace
8145,Thibaut Courtois,13.0,be BEL,GK,25-303,90.0,20.0,28.0,71.4,697.0,411.0,1.0,1.0,100.0,8.0,8.0,100.0,11.0,19.0,57.9,0,0.0,0.0,1.0,0.0,0.0,0.0,03/10/2018,Chelsea,Crystal Palace
8146,Christian Benteke,17.0,be BEL,FW,27-097,45.0,7.0,9.0,77.8,101.0,17.0,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.0,,0,0.2,2.0,1.0,0.0,0.0,1.0,03/10/2018,Crystal Palace,Chelsea
8147,Wilfried Zaha,11.0,ci CIV,"FW,AM",25-120,45.0,9.0,11.0,81.8,148.0,19.0,4.0,4.0,100.0,3.0,3.0,100.0,1.0,2.0,50.0,1,0.3,1.0,0.0,2.0,0.0,2.0,03/10/2018,Crystal Palace,Chelsea
8148,Alexander SÃ¸rloth,9.0,no NOR,FW,22-095,90.0,15.0,22.0,68.2,166.0,28.0,9.0,11.0,81.8,4.0,7.0,57.1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,03/10/2018,Crystal Palace,Chelsea
8149,Luka MilivojeviÄ,4.0,rs SRB,"AM,DM",26-337,90.0,40.0,47.0,85.1,1040.0,332.0,7.0,9.0,77.8,20.0,22.0,90.9,13.0,16.0,81.3,0,0.0,0.0,7.0,2.0,0.0,5.0,03/10/2018,Crystal Palace,Chelsea
8150,Andros Townsend,10.0,eng ENG,AM,26-237,81.0,15.0,20.0,75.0,185.0,25.0,9.0,10.0,90.0,6.0,7.0,85.7,0.0,3.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,03/10/2018,Crystal Palace,Chelsea
8151,Lee Chung-yong,14.0,kr KOR,AM,29-251,9.0,6.0,7.0,85.7,77.0,35.0,5.0,5.0,100.0,1.0,2.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Crystal Palace,Chelsea
8152,Jeffrey Schlupp,15.0,gh GHA,CM,25-077,75.0,16.0,24.0,66.7,216.0,55.0,10.0,11.0,90.9,5.0,7.0,71.4,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Crystal Palace,Chelsea
8153,JaÃ¯ro Riedewald,44.0,nl NED,CM,21-182,15.0,11.0,12.0,91.7,153.0,31.0,7.0,7.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,1.0,0.0,03/10/2018,Crystal Palace,Chelsea
8154,James McArthur,18.0,sco SCO,CM,30-154,90.0,38.0,46.0,82.6,652.0,93.0,17.0,18.0,94.4,15.0,18.0,83.3,5.0,6.0,83.3,0,0.1,1.0,2.0,0.0,0.0,0.0,03/10/2018,Crystal Palace,Chelsea
8155,Patrick van Aanholt,3.0,nl NED,LB,27-193,90.0,42.0,55.0,76.4,775.0,441.0,19.0,19.0,100.0,18.0,25.0,72.0,5.0,9.0,55.6,0,0.0,0.0,2.0,0.0,0.0,5.0,03/10/2018,Crystal Palace,Chelsea
8156,James Tomkins,5.0,eng ENG,CB,28-346,90.0,34.0,38.0,89.5,784.0,231.0,7.0,8.0,87.5,19.0,19.0,100.0,8.0,11.0,72.7,0,0.0,0.0,2.0,0.0,0.0,2.0,03/10/2018,Crystal Palace,Chelsea
8157,Martin Kelly,34.0,eng ENG,CB,27-317,90.0,22.0,26.0,84.6,559.0,159.0,4.0,4.0,100.0,10.0,11.0,90.9,7.0,9.0,77.8,0,0.0,0.0,1.0,1.0,0.0,2.0,03/10/2018,Crystal Palace,Chelsea
8158,Aaron Wan-Bissaka,29.0,eng ENG,RB,20-104,90.0,28.0,41.0,68.3,388.0,212.0,15.0,17.0,88.2,8.0,11.0,72.7,2.0,6.0,33.3,0,0.0,0.0,0.0,1.0,1.0,1.0,03/10/2018,Crystal Palace,Chelsea
8159,Wayne Hennessey,13.0,wal WAL,GK,31-045,90.0,10.0,22.0,45.5,583.0,523.0,1.0,1.0,100.0,2.0,2.0,100.0,7.0,19.0,36.8,0,0.0,0.0,0.0,0.0,0.0,0.0,03/10/2018,Crystal Palace,Chelsea
8160,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,28-266,90.0,7.0,9.0,77.8,55.0,1.0,6.0,7.0,85.7,0.0,0.0,,0.0,1.0,0.0,1,0.1,1.0,0.0,0.0,0.0,0.0,03/11/2018,Arsenal,Watford
8161,Alex Iwobi,17.0,ng NGA,LW,21-312,66.0,20.0,29.0,69.0,252.0,59.0,15.0,16.0,93.8,5.0,9.0,55.6,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,2.0,03/11/2018,Arsenal,Watford
8162,Danny Welbeck,23.0,eng ENG,LW,27-105,24.0,4.0,5.0,80.0,58.0,12.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,,0,0.0,0.0,1.0,0.0,0.0,1.0,03/11/2018,Arsenal,Watford
8163,Henrikh Mkhitaryan,7.0,am ARM,RW,29-049,78.0,32.0,47.0,68.1,426.0,114.0,21.0,27.0,77.8,10.0,12.0,83.3,0.0,4.0,0.0,1,0.3,1.0,0.0,1.0,0.0,2.0,03/11/2018,Arsenal,Watford
8164,Jack Wilshere,10.0,eng ENG,RW,26-069,12.0,3.0,5.0,60.0,39.0,14.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,,0,0.1,1.0,0.0,0.0,0.0,1.0,03/11/2018,Arsenal,Watford
8165,Mesut Ãzil,11.0,de GER,AM,29-147,90.0,47.0,61.0,77.0,740.0,290.0,23.0,27.0,85.2,19.0,23.0,82.6,3.0,5.0,60.0,1,0.3,3.0,7.0,0.0,0.0,5.0,03/11/2018,Arsenal,Watford
8166,Granit Xhaka,29.0,ch SUI,DM,25-165,90.0,57.0,62.0,91.9,1089.0,238.0,22.0,22.0,100.0,22.0,24.0,91.7,10.0,11.0,90.9,0,0.0,0.0,7.0,0.0,0.0,5.0,03/11/2018,Arsenal,Watford
8167,Mohamed Elneny,35.0,eg EGY,DM,25-243,90.0,66.0,73.0,90.4,1039.0,388.0,35.0,35.0,100.0,23.0,27.0,85.2,5.0,6.0,83.3,0,0.4,1.0,5.0,1.0,0.0,7.0,03/11/2018,Arsenal,Watford
8168,Sead KolaÅ¡inac,31.0,ba BIH,LB,24-264,90.0,44.0,51.0,86.3,694.0,267.0,20.0,22.0,90.9,22.0,25.0,88.0,1.0,3.0,33.3,0,0.5,1.0,7.0,1.0,0.0,6.0,03/11/2018,Arsenal,Watford
8169,Rob Holding,16.0,eng ENG,CB,22-172,90.0,45.0,52.0,86.5,870.0,299.0,14.0,17.0,82.4,23.0,26.0,88.5,7.0,8.0,87.5,0,0.0,0.0,1.0,0.0,0.0,1.0,03/11/2018,Arsenal,Watford
8170,Shkodran Mustafi,20.0,de GER,CB,25-328,73.0,35.0,46.0,76.1,747.0,343.0,9.0,11.0,81.8,20.0,26.0,76.9,5.0,8.0,62.5,0,0.0,0.0,2.0,0.0,0.0,3.0,03/11/2018,Arsenal,Watford
8171,Calum Chambers,21.0,eng ENG,CB,23-050,17.0,4.0,5.0,80.0,71.0,6.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Arsenal,Watford
8172,Ainsley Maitland-Niles,30.0,eng ENG,RB,20-194,90.0,45.0,53.0,84.9,650.0,282.0,29.0,33.0,87.9,12.0,14.0,85.7,3.0,4.0,75.0,0,0.0,0.0,1.0,2.0,0.0,3.0,03/11/2018,Arsenal,Watford
8173,Petr Äech,33.0,cz CZE,GK,35-295,90.0,14.0,20.0,70.0,406.0,294.0,4.0,4.0,100.0,4.0,4.0,100.0,6.0,12.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Arsenal,Watford
8174,Troy Deeney,9.0,eng ENG,FW,29-255,90.0,11.0,21.0,52.4,184.0,30.0,6.0,8.0,75.0,4.0,8.0,50.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Watford,Arsenal
8175,Roberto Pereyra,37.0,ar ARG,LW,27-063,67.0,18.0,24.0,75.0,335.0,97.0,12.0,14.0,85.7,3.0,5.0,60.0,3.0,4.0,75.0,0,0.1,1.0,3.0,1.0,1.0,2.0,03/11/2018,Watford,Arsenal
8176,Stefano Okaka,33.0,it ITA,"LW,AM",28-214,23.0,4.0,5.0,80.0,81.0,1.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Watford,Arsenal
8177,Kiko FemenÃ­a,21.0,es ESP,RW,27-037,62.0,9.0,13.0,69.2,140.0,51.0,5.0,6.0,83.3,4.0,5.0,80.0,0.0,1.0,0.0,0,0.2,1.0,0.0,1.0,1.0,1.0,03/11/2018,Watford,Arsenal
8178,Will Hughes,19.0,eng ENG,RW,22-328,28.0,7.0,9.0,77.8,138.0,4.0,3.0,3.0,100.0,2.0,3.0,66.7,2.0,2.0,100.0,0,0.0,0.0,0.0,1.0,0.0,1.0,03/11/2018,Watford,Arsenal
8179,Richarlison,11.0,br BRA,"AM,LW",20-305,90.0,13.0,19.0,68.4,161.0,40.0,10.0,12.0,83.3,1.0,4.0,25.0,1.0,1.0,100.0,0,0.2,2.0,1.0,1.0,0.0,2.0,03/11/2018,Watford,Arsenal
8180,Ãtienne Capoue,29.0,fr FRA,DM,29-243,90.0,36.0,38.0,94.7,775.0,228.0,11.0,11.0,100.0,16.0,17.0,94.1,9.0,10.0,90.0,0,0.0,0.0,4.0,3.0,0.0,7.0,03/11/2018,Watford,Arsenal
8181,Abdoulaye DoucourÃ©,16.0,fr FRA,DM,25-069,90.0,40.0,42.0,95.2,910.0,116.0,12.0,13.0,92.3,18.0,18.0,100.0,10.0,11.0,90.9,0,0.0,1.0,2.0,0.0,0.0,3.0,03/11/2018,Watford,Arsenal
8182,JosÃ© Holebas,25.0,gr GRE,LB,33-257,90.0,35.0,63.0,55.6,745.0,360.0,18.0,20.0,90.0,9.0,17.0,52.9,8.0,19.0,42.1,0,0.3,1.0,3.0,1.0,0.0,4.0,03/11/2018,Watford,Arsenal
8183,Adrian Mariappa,6.0,jm JAM,"CB,RB",31-159,90.0,26.0,38.0,68.4,549.0,242.0,7.0,10.0,70.0,16.0,19.0,84.2,3.0,8.0,37.5,0,0.0,0.0,2.0,0.0,0.0,1.0,03/11/2018,Watford,Arsenal
8184,Sebastian PrÃ¶dl,5.0,at AUT,CB,30-263,90.0,18.0,32.0,56.3,339.0,76.0,6.0,8.0,75.0,10.0,11.0,90.9,2.0,11.0,18.2,0,0.0,0.0,1.0,0.0,0.0,2.0,03/11/2018,Watford,Arsenal
8185,Daryl Janmaat,2.0,nl NED,RB,28-232,80.0,24.0,35.0,68.6,534.0,240.0,11.0,12.0,91.7,6.0,9.0,66.7,7.0,13.0,53.8,0,0.0,1.0,4.0,1.0,0.0,4.0,03/11/2018,Watford,Arsenal
8186,Miguel Britos,3.0,uy URU,CB,32-237,10.0,3.0,4.0,75.0,39.0,20.0,3.0,3.0,100.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Watford,Arsenal
8187,Orestis Karnezis,30.0,gr GRE,GK,32-243,90.0,13.0,20.0,65.0,580.0,409.0,0.0,0.0,,4.0,4.0,100.0,9.0,16.0,56.3,0,0.0,0.0,1.0,0.0,0.0,0.0,03/11/2018,Watford,Arsenal
8188,Callum Wilson,13.0,eng ENG,FW,26-012,90.0,13.0,19.0,68.4,169.0,34.0,9.0,11.0,81.8,3.0,4.0,75.0,1.0,2.0,50.0,0,0.1,2.0,0.0,1.0,0.0,2.0,03/11/2018,Bournemouth,Tottenham
8189,Lys Mousset,31.0,fr FRA,FW,22-031,67.0,4.0,10.0,40.0,43.0,20.0,3.0,7.0,42.9,1.0,1.0,100.0,0.0,2.0,0.0,0,0.3,1.0,0.0,1.0,0.0,1.0,03/11/2018,Bournemouth,Tottenham
8190,Joshua King,17.0,no NOR,"LM,FW",26-055,23.0,5.0,6.0,83.3,72.0,7.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Bournemouth,Tottenham
8191,Junior Stanislas,19.0,eng ENG,LM,28-105,76.0,17.0,22.0,77.3,327.0,161.0,6.0,8.0,75.0,8.0,9.0,88.9,3.0,5.0,60.0,0,0.2,3.0,2.0,0.0,0.0,2.0,03/11/2018,Bournemouth,Tottenham
8192,Jermain Defoe,18.0,eng ENG,FW,35-155,14.0,1.0,1.0,100.0,19.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,03/11/2018,Bournemouth,Tottenham
8193,Dan Gosling,4.0,eng ENG,CM,28-038,90.0,35.0,43.0,81.4,562.0,232.0,15.0,19.0,78.9,15.0,18.0,83.3,3.0,4.0,75.0,0,0.1,1.0,4.0,1.0,1.0,8.0,03/11/2018,Bournemouth,Tottenham
8194,Lewis Cook,16.0,eng ENG,CM,21-036,90.0,27.0,45.0,60.0,753.0,261.0,7.0,15.0,46.7,9.0,11.0,81.8,11.0,17.0,64.7,0,0.0,0.0,6.0,0.0,0.0,3.0,03/11/2018,Bournemouth,Tottenham
8195,Adam Smith,15.0,eng ENG,RM,26-316,90.0,26.0,32.0,81.3,503.0,198.0,10.0,11.0,90.9,12.0,16.0,75.0,4.0,4.0,100.0,1,0.1,1.0,2.0,2.0,1.0,4.0,03/11/2018,Bournemouth,Tottenham
8196,Charlie Daniels,11.0,eng ENG,LB,31-185,67.0,20.0,28.0,71.4,384.0,119.0,8.0,12.0,66.7,9.0,10.0,90.0,3.0,4.0,75.0,0,0.0,0.0,0.0,0.0,0.0,1.0,03/11/2018,Bournemouth,Tottenham
8197,Jordon Ibe,33.0,eng ENG,CM,22-093,23.0,7.0,10.0,70.0,160.0,45.0,1.0,1.0,100.0,5.0,5.0,100.0,1.0,2.0,50.0,0,0.0,0.0,1.0,1.0,0.0,2.0,03/11/2018,Bournemouth,Tottenham
8198,Nathan AkÃ©,5.0,nl NED,CB,23-021,90.0,22.0,27.0,81.5,477.0,148.0,5.0,6.0,83.3,10.0,12.0,83.3,6.0,8.0,75.0,0,0.0,0.0,2.0,0.0,0.0,1.0,03/11/2018,Bournemouth,Tottenham
8199,Steve Cook,3.0,eng ENG,CB,26-326,90.0,18.0,25.0,72.0,393.0,137.0,5.0,6.0,83.3,9.0,11.0,81.8,3.0,7.0,42.9,0,0.0,0.0,2.0,0.0,0.0,3.0,03/11/2018,Bournemouth,Tottenham
8200,Simon Francis,2.0,eng ENG,"RB,CB",33-023,90.0,29.0,45.0,64.4,653.0,292.0,6.0,8.0,75.0,16.0,20.0,80.0,6.0,16.0,37.5,0,0.0,1.0,3.0,0.0,0.0,5.0,03/11/2018,Bournemouth,Tottenham
8201,Asmir BegoviÄ,27.0,ba BIH,GK,30-264,90.0,6.0,18.0,33.3,235.0,175.0,1.0,1.0,100.0,2.0,2.0,100.0,3.0,15.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Bournemouth,Tottenham
8202,Harry Kane,10.0,eng ENG,FW,24-226,34.0,6.0,8.0,75.0,120.0,3.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,03/11/2018,Tottenham,Bournemouth
8203,Ãrik Lamela,11.0,ar ARG,FW,26-007,56.0,26.0,33.0,78.8,523.0,101.0,10.0,12.0,83.3,12.0,14.0,85.7,4.0,6.0,66.7,0,0.0,1.0,3.0,0.0,0.0,1.0,03/11/2018,Tottenham,Bournemouth
8204,Son Heung-min,7.0,kr KOR,LW,25-246,90.0,24.0,32.0,75.0,384.0,92.0,8.0,10.0,80.0,16.0,20.0,80.0,0.0,0.0,,0,0.0,0.0,1.0,0.0,0.0,4.0,03/11/2018,Tottenham,Bournemouth
8205,Christian Eriksen,23.0,dk DEN,RW,26-025,90.0,49.0,57.0,86.0,1125.0,359.0,12.0,13.0,92.3,26.0,29.0,89.7,11.0,15.0,73.3,1,0.7,1.0,11.0,0.0,0.0,11.0,03/11/2018,Tottenham,Bournemouth
8206,Dele Alli,20.0,eng ENG,AM,21-334,86.0,29.0,37.0,78.4,497.0,106.0,11.0,12.0,91.7,16.0,20.0,80.0,2.0,2.0,100.0,1,0.3,3.0,3.0,2.0,0.0,3.0,03/11/2018,Tottenham,Bournemouth
8207,Moussa Sissoko,17.0,fr FRA,AM,28-207,4.0,5.0,5.0,100.0,104.0,60.0,1.0,1.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0,0,0.2,1.0,1.0,0.0,0.0,1.0,03/11/2018,Tottenham,Bournemouth
8208,Mousa DembÃ©lÃ©,19.0,be BEL,DM,30-238,90.0,46.0,50.0,92.0,870.0,302.0,13.0,14.0,92.9,31.0,33.0,93.9,2.0,2.0,100.0,0,0.0,0.0,5.0,1.0,0.0,9.0,03/11/2018,Tottenham,Bournemouth
8209,Victor Wanyama,12.0,ke KEN,DM,26-259,90.0,55.0,64.0,85.9,1076.0,251.0,15.0,17.0,88.2,34.0,39.0,87.2,6.0,7.0,85.7,0,0.0,0.0,3.0,0.0,0.0,4.0,03/11/2018,Tottenham,Bournemouth
8210,Danny Rose,3.0,eng ENG,LB,27-252,81.0,38.0,60.0,63.3,911.0,380.0,7.0,13.0,53.8,24.0,29.0,82.8,7.0,16.0,43.8,0,0.1,1.0,5.0,2.0,1.0,5.0,03/11/2018,Tottenham,Bournemouth
8211,Kieran Trippier,2.0,eng ENG,LB,27-173,9.0,1.0,3.0,33.3,16.0,13.0,0.0,0.0,,1.0,2.0,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,03/11/2018,Tottenham,Bournemouth
8212,Jan Vertonghen,5.0,be BEL,CB,30-321,90.0,56.0,69.0,81.2,1170.0,487.0,6.0,8.0,75.0,45.0,49.0,91.8,4.0,10.0,40.0,0,0.0,0.0,6.0,0.0,0.0,7.0,03/11/2018,Tottenham,Bournemouth
